CustomerID,Cluster
C0001,2
C0002,4
C0003,2
C0004,7
C0005,2
C0006,4
C0007,2
C0008,1
C0009,3
C0010,4
C0011,7
C0012,7
C0013,7
C0014,5
C0015,5
C0016,6
C0017,1
C0018,7
C0019,0
C0020,2
C0021,1
C0022,4
C0023,2
C0024,0
C0025,0
C0026,2
C0027,4
C0028,1
C0029,4
C0030,4
C0031,2
C0032,3
C0033,3
C0034,4
C0035,0
C0036,4
C0037,6
C0038,0
C0039,7
C0040,4
C0041,1
C0042,3
C0043,6
C0044,4
C0045,1
C0046,7
C0047,0
C0048,0
C0049,0
C0050,2
C0051,1
C0052,0
C0053,1
C0054,1
C0055,0
C0056,4
C0057,0
C0058,3
C0059,1
C0060,5
C0061,6
C0062,4
C0063,6
C0064,0
C0065,1
C0066,2
C0067,2
C0068,7
C0069,2
C0070,6
C0071,5
C0072,2
C0073,5
C0074,4
C0075,1
C0076,0
C0077,3
C0078,6
C0079,4
C0080,5
C0081,0
C0082,7
C0083,3
C0084,1
C0085,2
C0086,4
C0087,7
C0088,2
C0089,5
C0090,1
C0091,2
C0092,4
C0093,1
C0094,2
C0095,5
C0096,7
C0097,5
C0098,0
C0099,7
C0100,1
C0101,1
C0102,7
C0103,0
C0104,7
C0105,1
C0106,4
C0107,4
C0108,7
C0109,1
C0110,5
C0111,4
C0112,2
C0113,7
C0114,7
C0115,6
C0116,0
C0117,4
C0118,0
C0119,0
C0120,2
C0121,0
C0122,7
C0123,5
C0124,1
C0125,2
C0126,0
C0127,0
C0128,5
C0129,4
C0130,2
C0131,6
C0132,6
C0133,4
C0134,4
C0135,4
C0136,1
C0137,0
C0138,4
C0139,0
C0140,2
C0141,1
C0142,6
C0143,1
C0144,5
C0145,1
C0146,6
C0147,0
C0148,7
C0149,4
C0150,3
C0151,5
C0152,0
C0153,7
C0154,0
C0155,7
C0156,1
C0157,2
C0158,4
C0159,4
C0160,0
C0161,0
C0162,1
C0163,7
C0164,0
C0165,7
C0166,2
C0167,6
C0168,7
C0169,7
C0170,4
C0171,7
C0172,0
C0173,1
C0174,0
C0175,1
C0176,4
C0177,6
C0178,4
C0179,0
C0180,3
C0181,2
C0182,4
C0183,2
C0184,0
C0185,4
C0186,6
C0187,0
C0188,7
C0189,0
C0190,2
C0191,0
C0192,2
C0193,6
C0194,0
C0195,7
C0196,4
C0197,2
C0198,3
C0199,5
C0200,4
